EUR;;Discount Curve;;
Source;;Swap vs 6M Euribor;;
Day Count;;30/360;;
Curve Shift Type;;Parallel;;
Shift Curve (bp);;0,0;;
Tenor;Date;Rate;Shifted;Discount
1D;mai 03, 2019;-0,4199;-0,4141;1,0000115
4D;mai 06, 2019;-0,4275;-0,4216;1,0000469
6M;nov 06, 2019;-0,2392;-0,2410;1,0012342
7M;d‚c 06, 2019;-0,2540;-0,2552;1,0015203
8M;janv 06, 2020;-0,2522;-0,2539;1,0017243
9M;f‚vr 06, 2020;-0,2442;-0,2461;1,0018772
10M;mars 06, 2020;-0,2307;-0,2306;1,0019515
11M;avr 06, 2020;-0,2276;-0,2279;1,0021187
1Y;mai 06, 2020;-0,2318;-0,2318;1,0023490
1Y6M;nov 06, 2020;-0,2184;-0,2190;1,0033182
2Y;mai 06, 2021;-0,1958;-0,1958;1,0039492
3Y;mai 06, 2022;-0,1287;-0,1287;1,0038849
4Y;mai 08, 2023;-0,0481;-0,0481;1,0019353
5Y;mai 06, 2024;0,0411;0,0411;0,9979427
6Y;mai 06, 2025;0,1382;0,1382;0,9917344
7Y;mai 06, 2026;0,2377;0,2377;0,9834918
8Y;mai 06, 2027;0,3378;0,3378;0,9733457
9Y;mai 08, 2028;0,4370;0,4370;0,9614444
10Y;mai 07, 2029;0,5297;0,5297;0,9484695
11Y;mai 06, 2030;0,6174;0,6174;0,9344718
12Y;mai 06, 2031;0,6984;0,6984;0,9198033
13Y;mai 06, 2032;0,7721;0,7721;0,9047708
14Y;mai 06, 2033;0,8367;0,8367;0,8898114
15Y;mai 08, 2034;0,8943;0,8942;0,8748628
16Y;mai 07, 2035;0,9424;0,9423;0,8605363
17Y;mai 06, 2036;0,9853;0,9853;0,8463779
18Y;mai 06, 2037;1,0207;1,0207;0,8328407
19Y;mai 06, 2038;1,0519;1,0519;0,8195992
20Y;mai 06, 2039;1,0777;1,0777;0,8069425
25Y;mai 06, 2044;1,1412;1,1412;0,7529128
30Y;mai 06, 2049;1,1525;1,1525;0,7090021
40Y;mai 06, 2059;1,1341;1,1341;0,6368573
50Y;mai 06, 2069;1,1009;1,1009;0,5783690
