Source;;OIS EONIA;;
Day Count;;Actual/Actual;;
Curve Shift Type;;Parallel;;
Shift Curve (bp);;0,0;;
Tenor;Date;Rate;Shifted;Discount
1D;juin 27, 2019;-0,4300;-0,4300;1,0000118
2D;juin 28, 2019;-0,4300;-0,4300;1,0000236
1W;juil 05, 2019;-0,3829;-0,3829;1,0000946
2W;juil 12, 2019;-0,3788;-0,3788;1,0001664
3W;juil 19, 2019;-0,3765;-0,3765;1,0002377
1M;juil 29, 2019;-0,3763;-0,3763;1,0003409
2M;août 28, 2019;-0,3939;-0,3939;1,0006815
3M;sept 30, 2019;-0,4085;-0,4085;1,0010772
4M;oct 28, 2019;-0,4243;-0,4243;1,0014456
5M;nov 28, 2019;-0,4373;-0,4373;1,0018630
6M;déc 30, 2019;-0,4491;-0,4491;1,0023088
7M;janv 28, 2020;-0,4576;-0,4576;1,0027178
8M;févr 28, 2020;-0,4657;-0,4657;1,0031641
9M;mars 30, 2020;-0,4757;-0,4757;1,0036283
10M;avr 28, 2020;-0,4814;-0,4814;1,0040557
11M;mai 28, 2020;-0,4866;-0,4866;1,0045010
1Y;juin 29, 2020;-0,4919;-0,4919;1,0049839
1Y3M;sept 28, 2020;-0,5035;-0,5035;1,0063673
1Y6M;déc 28, 2020;-0,5114;-0,5114;1,0077552
1Y7M;janv 28, 2021;-0,5174;-0,5174;1,0082915
1Y8M;mars 01, 2021;-0,5191;-0,5191;1,0087832
1Y9M;mars 29, 2021;-0,5150;-0,5150;1,0091132
2Y;juin 28, 2021;-0,5165;-0,5165;1,0104387
3Y;juin 28, 2022;-0,4942;-0,4942;1,0150003
4Y;juin 28, 2023;-0,4478;-0,4478;1,0181380
5Y;juin 28, 2024;-0,3824;-0,3824;1,0193647
6Y;juin 30, 2025;-0,3072;-0,3072;1,0186686
7Y;juin 29, 2026;-0,2284;-0,2284;1,0161576
8Y;juin 28, 2027;-0,1454;-0,1454;1,0117139
9Y;juin 28, 2028;-0,0617;-0,0617;1,0055763
10Y;juin 28, 2029;0,0162;0,0162;0,9983802
11Y;juin 28, 2030;0,0935;0,0935;0,9897660
12Y;juin 30, 2031;0,1654;0,1654;0,9803452
15Y;juin 28, 2034;0,3463;0,3463;0,9494477
20Y;juin 28, 2039;0,5249;0,5249;0,9005681
25Y;juin 28, 2044;0,5923;0,5923;0,8627180
30Y;juin 28, 2049;0,6059;0,6059;0,8342115
40Y;juin 30, 2059;0,5946;0,5946;0,7888340
50Y;juin 28, 2069;0,5747;0,5747;0,7508318
