EUR;;Discount Curve;;
Source;;OIS EONIA;;
Day Count;;30/360;;
Curve Shift Type;;Parallel;;
Shift Curve (bp);;0,0;;
Tenor;Date;Rate;Shifted;Discount
3D;juil 01, 2019;-0,4451;-0,4390;1,0000367
4D;juil 02, 2019;-0,4439;-0,4378;1,0000488
2W;juil 09, 2019;-0,3984;-0,3930;1,0001203
3W;juil 16, 2019;-0,3891;-0,3838;1,0001923
1M;juil 23, 2019;-0,3847;-0,3795;1,0002641
1M;août 02, 2019;-0,3815;-0,3874;1,0003666
2M;sept 02, 2019;-0,3920;-0,3987;1,0007106
3M;oct 02, 2019;-0,4066;-0,4095;1,0010721
4M;nov 04, 2019;-0,4258;-0,4300;1,0015093
5M;déc 02, 2019;-0,4366;-0,4390;1,0018840
6M;janv 02, 2020;-0,4476;-0,4510;1,0023131
7M;févr 03, 2020;-0,4589;-0,4631;1,0027762
8M;mars 02, 2020;-0,4679;-0,4678;1,0031833
9M;avr 02, 2020;-0,4751;-0,4758;1,0036368
10M;mai 04, 2020;-0,4826;-0,4825;1,0041195
11M;juin 02, 2020;-0,4874;-0,4880;1,0045491
1Y;juil 02, 2020;-0,4925;-0,4925;1,0050043
1Y3M;oct 02, 2020;-0,5053;-0,5060;1,0064183
1Y6M;janv 04, 2021;-0,5146;-0,5159;1,0078752
1Y7M;févr 02, 2021;-0,5202;-0,5220;1,0083802
1Y8M;mars 02, 2021;-0,5220;-0,5219;1,0088180
1Y9M;avr 06, 2021;-0,5175;-0,5178;1,0092433
2Y;juil 02, 2021;-0,5193;-0,5193;1,0105259
3Y;juil 04, 2022;-0,4959;-0,4959;1,0151084
4Y;juil 03, 2023;-0,4466;-0,4466;1,0181288
5Y;juil 02, 2024;-0,3805;-0,3805;1,0192874
6Y;juil 02, 2025;-0,3058;-0,3058;1,0185789
7Y;juil 02, 2026;-0,2268;-0,2268;1,0160478
8Y;juil 02, 2027;-0,1425;-0,1425;1,0114913
9Y;juil 03, 2028;-0,0587;-0,0587;1,0053046
10Y;juil 02, 2029;0,0201;0,0201;0,9979945
11Y;juil 02, 2030;0,0974;0,0974;0,9893416
12Y;juil 02, 2031;0,1689;0,1689;0,9799361
15Y;juil 03, 2034;0,3493;0,3493;0,9489986
20Y;juil 04, 2039;0,5301;0,5301;0,8995862
25Y;juil 04, 2044;0,5963;0,5963;0,8617996
30Y;juil 02, 2049;0,6122;0,6122;0,8326258
40Y;juil 02, 2059;0,5974;0,5974;0,7879639
50Y;juil 02, 2069;0,5729;0,5729;0,7514850
