EUR;;Discount Curve;;
Source;;Swap vs 6M Euribor;;
Day Count;;30/360;;
Curve Shift Type;;Parallel;;
Shift Curve (bp);;0,0;;
Tenor;Date;Rate;Shifted;Discount
3D;mai 06, 2019;-0,4148;-0,4092;1,0000342
4D;mai 07, 2019;-0,4199;-0,4141;1,0000461
6M;nov 07, 2019;-0,2370;-0,2389;1,0012231
7M;d‚c 09, 2019;-0,2533;-0,2545;1,0015300
8M;janv 07, 2020;-0,2518;-0,2534;1,0017211
9M;f‚vr 07, 2020;-0,2439;-0,2458;1,0018749
10M;mars 09, 2020;-0,2295;-0,2294;1,0019541
11M;avr 07, 2020;-0,2265;-0,2268;1,0021086
1Y;mai 07, 2020;-0,2307;-0,2307;1,0023379
1Y6M;nov 09, 2020;-0,2183;-0,2188;1,0033280
2Y;mai 07, 2021;-0,1958;-0,1957;1,0039483
3Y;mai 09, 2022;-0,1297;-0,1297;1,0039214
4Y;mai 08, 2023;-0,0486;-0,0486;1,0019532
5Y;mai 07, 2024;0,0406;0,0406;0,9979669
6Y;mai 07, 2025;0,1377;0,1377;0,9917635
7Y;mai 07, 2026;0,2382;0,2382;0,9834559
8Y;mai 07, 2027;0,3399;0,3399;0,9731860
9Y;mai 08, 2028;0,4391;0,4391;0,9612778
10Y;mai 07, 2029;0,5339;0,5339;0,9480913
11Y;mai 07, 2030;0,6200;0,6200;0,9342069
12Y;mai 07, 2031;0,7016;0,7015;0,9194599
13Y;mai 07, 2032;0,7742;0,7742;0,9045292
14Y;mai 09, 2033;0,8388;0,8388;0,8895151
15Y;mai 08, 2034;0,8958;0,8958;0,8746842
16Y;mai 07, 2035;0,9450;0,9450;0,8601974
17Y;mai 07, 2036;0,9879;0,9879;0,8460009
18Y;mai 07, 2037;1,0240;1,0239;0,8323640
19Y;mai 07, 2038;1,0540;1,0540;0,8192795
20Y;mai 09, 2039;1,0792;1,0792;0,8066566
25Y;mai 09, 2044;1,1439;1,1439;0,7523662
30Y;mai 07, 2049;1,1552;1,1551;0,7084430
40Y;mai 07, 2059;1,1349;1,1349;0,6366605
50Y;mai 07, 2069;1,1023;1,1023;0,5779454
